iter	Passed	Remaining
0	123	123145
1	127	63477
2	129	43166
3	134	33525
4	137	27360
5	140	23204
6	142	20259
7	149	18500
8	152	16771
9	155	15362
10	157	14194
11	162	13338
12	165	12538
13	167	11789
14	169	11157
15	172	10617
16	175	10143
17	177	9698
18	180	9313
19	182	8960
20	185	8647
21	188	8396
22	191	8144
23	193	7888
24	196	7648
25	198	7451
26	201	7274
27	204	7100
28	207	6937
29	209	6778
30	212	6632
31	214	6483
32	217	6361
33	219	6232
34	221	6104
35	223	5979
36	225	5861
37	227	5751
38	229	5650
39	231	5561
40	233	5464
41	236	5385
42	238	5299
43	240	5216
44	242	5148
45	244	5075
46	246	5008
47	248	4935
48	250	4866
49	252	4795
50	255	4747
51	259	4735
52	263	4704
53	266	4672
54	271	4661
55	275	4644
56	278	4600
57	280	4556
58	284	4529
59	289	4531
60	290	4478
61	292	4430
62	294	4378
63	296	4330
64	298	4297
65	300	4246
66	305	4247
67	307	4216
68	310	4187
69	314	4182
70	317	4156
71	320	4131
72	322	4099
73	337	4223
74	339	4188
75	341	4153
76	343	4121
77	347	4109
78	350	4091
79	353	4060
80	354	4027
81	356	3992
82	357	3948
83	358	3910
84	359	3873
85	366	3890
86	368	3869
87	370	3842
88	372	3814
89	375	3792
90	377	3771
91	380	3753
92	383	3743
93	386	3720
94	389	3707
95	390	3680
96	393	3660
97	395	3640
98	404	3682
99	408	3676
100	411	3660
101	414	3652
102	417	3632
103	419	3610
104	423	3607
105	425	3592
106	428	3573
107	431	3567
108	433	3547
109	438	3548
110	441	3537
111	444	3527
112	447	3515
113	451	3505
114	454	3496
115	457	3487
116	459	3465
117	462	3453
118	464	3439
119	468	3435
120	471	3424
121	473	3407
122	476	3398
123	479	3385
124	482	3374
125	484	3360
126	486	3344
127	488	3329
128	492	3326
129	496	3323
130	500	3321
131	504	3314
132	506	3302
133	508	3286
134	511	3278
135	514	3267
136	518	3264
137	522	3261
138	524	3246
139	525	3227
140	527	3213
141	536	3239
142	541	3243
143	545	3243
144	549	3238
145	551	3224
146	554	3216
147	557	3207
148	560	3200
149	563	3191
150	565	3178
151	568	3170
152	581	3216
153	584	3209
154	585	3192
155	596	3224
156	597	3208
157	600	3198
158	601	3182
159	603	3165
160	614	3200
161	617	3195
162	620	3186
163	623	3179
164	625	3167
165	628	3155
166	630	3144
167	632	3132
168	635	3123
169	638	3116
170	640	3104
171	642	3092
172	644	3079
173	646	3066
174	647	3053
175	649	3040
176	651	3031
177	653	3019
178	655	3006
179	657	2993
180	659	2983
181	661	2971
182	662	2957
183	664	2947
184	666	2936
185	668	2925
186	670	2913
187	671	2900
188	672	2887
189	674	2875
190	675	2862
191	677	2850
192	680	2845
193	682	2836
194	684	2823
195	685	2811
196	686	2800
197	688	2788
198	689	2775
199	690	2763
200	691	2750
201	693	2738
202	695	2729
203	697	2722
204	699	2712
205	700	2701
206	702	2692
207	704	2682
208	705	2670
209	707	2659
210	708	2648
211	709	2638
212	710	2626
213	712	2615
214	713	2604
215	714	2593
216	715	2582
217	716	2571
218	718	2560
219	719	2551
220	721	2542
221	722	2532
222	724	2524
223	726	2516
224	728	2510
225	730	2502
226	732	2494
227	734	2485
228	735	2474
229	736	2465
230	737	2454
231	738	2444
232	740	2437
233	742	2429
234	744	2423
235	746	2415
236	747	2405
237	748	2396
238	749	2386
239	750	2375
240	752	2368
241	753	2359
242	755	2352
243	757	2345
244	759	2339
245	760	2330
246	761	2321
247	762	2312
248	763	2303
249	764	2294
250	766	2287
251	768	2281
252	769	2273
253	771	2265
254	773	2258
255	774	2251
256	776	2243
257	777	2236
258	779	2228
259	780	2220
260	781	2212
261	782	2203
262	783	2196
263	785	2191
264	787	2185
265	789	2179
266	791	2173
267	793	2167
268	794	2159
269	795	2152
270	797	2145
271	800	2141
272	801	2134
273	802	2127
274	804	2121
275	805	2113
276	806	2105
277	807	2097
278	808	2089
279	809	2082
280	811	2075
281	813	2069
282	815	2066
283	817	2059
284	818	2053
285	820	2047
286	821	2040
287	823	2034
288	824	2029
289	826	2023
290	828	2017
291	830	2014
292	832	2008
293	833	2002
294	835	1996
295	837	1991
296	838	1985
297	839	1978
298	841	1972
299	843	1968
300	845	1963
301	848	1960
302	849	1955
303	851	1948
304	852	1943
305	854	1936
306	855	1930
307	857	1925
308	858	1919
309	859	1913
310	861	1907
311	862	1901
312	863	1895
313	866	1892
314	867	1887
315	869	1881
316	870	1875
317	873	1872
318	874	1867
319	876	1861
320	877	1855
321	878	1849
322	879	1844
323	881	1838
324	882	1833
325	883	1827
326	885	1822
327	888	1820
328	890	1816
329	892	1811
330	893	1805
331	894	1800
332	896	1794
333	897	1789
334	898	1783
335	899	1778
336	901	1773
337	903	1768
338	904	1763
339	905	1758
340	906	1752
341	908	1747
342	909	1742
343	910	1736
344	911	1730
345	912	1725
346	913	1719
347	915	1715
348	917	1711
349	919	1706
350	920	1701
351	921	1696
352	922	1691
353	924	1687
354	925	1681
355	926	1676
356	928	1671
357	930	1667
358	931	1663
359	933	1659
360	934	1654
361	936	1649
362	937	1644
363	939	1640
364	941	1637
365	942	1632
366	943	1627
367	945	1623
368	947	1619
369	948	1615
370	949	1610
371	950	1605
372	952	1600
373	955	1598
374	957	1595
375	960	1593
376	964	1593
377	966	1589
378	968	1586
379	970	1583
380	972	1580
381	974	1576
382	976	1573
383	978	1569
384	980	1565
385	981	1560
386	982	1556
387	984	1552
388	985	1547
389	986	1543
390	988	1540
391	990	1536
392	992	1532
393	993	1528
394	994	1523
395	996	1519
396	997	1514
397	998	1509
398	999	1505
399	1001	1501
400	1004	1500
401	1006	1497
402	1010	1496
403	1012	1493
404	1013	1489
405	1015	1485
406	1017	1482
407	1018	1478
408	1021	1475
409	1023	1472
410	1025	1469
411	1026	1464
412	1027	1460
413	1028	1456
414	1029	1451
415	1032	1449
416	1034	1446
417	1036	1442
418	1037	1438
419	1038	1434
420	1039	1429
421	1041	1425
422	1042	1421
423	1043	1417
424	1045	1415
425	1047	1411
426	1048	1407
427	1049	1403
428	1051	1398
429	1052	1394
430	1053	1391
431	1055	1387
432	1056	1384
433	1059	1381
434	1060	1378
435	1062	1374
436	1063	1370
437	1065	1366
438	1066	1362
439	1067	1358
440	1068	1354
441	1069	1350
442	1070	1346
443	1071	1342
444	1073	1339
445	1075	1335
446	1076	1331
447	1077	1327
448	1078	1323
449	1079	1319
450	1080	1315
451	1081	1311
452	1083	1307
453	1084	1303
454	1085	1299
455	1086	1295
456	1087	1291
457	1088	1288
458	1089	1284
459	1090	1280
460	1092	1276
461	1093	1272
462	1094	1269
463	1095	1265
464	1096	1261
465	1097	1257
466	1098	1254
467	1099	1250
468	1100	1246
469	1101	1242
470	1103	1239
471	1104	1235
472	1105	1232
473	1106	1228
474	1107	1224
475	1109	1220
476	1110	1217
477	1111	1213
478	1112	1209
479	1113	1206
480	1114	1202
481	1115	1198
482	1116	1194
483	1117	1191
484	1119	1188
485	1120	1184
486	1121	1181
487	1122	1177
488	1123	1173
489	1124	1170
490	1125	1166
491	1126	1163
492	1127	1159
493	1128	1155
494	1129	1152
495	1130	1148
496	1131	1145
497	1132	1142
498	1134	1138
499	1135	1135
500	1136	1131
501	1137	1128
502	1138	1125
503	1139	1121
504	1140	1118
505	1141	1114
506	1143	1111
507	1144	1108
508	1145	1104
509	1146	1101
510	1147	1098
511	1149	1095
512	1150	1092
513	1151	1088
514	1152	1085
515	1153	1082
516	1154	1078
517	1155	1075
